,polarity,id,date,query,user,tweet
468376,negative,2175979152,Mon Jun 15 02:33:38 PDT 2009,NO_QUERY,boagworld,"Tired, grumpy and unsure what my priorities are today. Not a good start to a busy week  #fb"
1066760,positive,1965371601,Fri May 29 15:48:12 PDT 2009,NO_QUERY,vicksdecay,Way to go dad! You're gonna be a dad for the billionth time!  ........ I hope this time you get it right. -_-
1392597,positive,2053426390,Sat Jun 06 04:30:50 PDT 2009,NO_QUERY,joeybwfc,completely broke but enjoying myself at the moment anyway 
1271874,positive,2000617833,Mon Jun 01 22:31:54 PDT 2009,NO_QUERY,PrincessJamieL,House season 1 
1030346,positive,1932912753,Tue May 26 22:31:10 PDT 2009,NO_QUERY,theresagiovanni,@ Blizzfm thanks uda follow yaa 
1549905,positive,2183624098,Mon Jun 15 14:45:43 PDT 2009,NO_QUERY,genepark,"@KhoreoKat Do you trust newspaper people?  Not like I'm a newspaper person though. Nope, not at all."
1395200,positive,2053695518,Sat Jun 06 05:25:06 PDT 2009,NO_QUERY,dougkirchmann,@Linny_Buck Hey Linny. I live in South Africa. Quite far from your closets  South Africa has its perks when it comes to house keeping.
1443564,positive,2062136492,Sat Jun 06 22:25:33 PDT 2009,NO_QUERY,belliejean,@A_BlueMidnight hey! u were able to get ur ipod back!! haha 
767620,negative,2300539372,Tue Jun 23 14:16:29 PDT 2009,NO_QUERY,NChill,"@Ashley_89 you need another holiday already, ha? It's been ok, just been seeing uni friends lots before they leave brum  sad times x"
950461,positive,1823995500,Sat May 16 23:40:41 PDT 2009,NO_QUERY,twilightsmarie,@Renee_d i hope all is okay  not being able to sleep is not cool at all
643060,negative,2235666429,Fri Jun 19 01:46:26 PDT 2009,NO_QUERY,fatehjit1989,twitter u r sooooooooooooo boring even my inland card letter box fills up faster than u 
313907,negative,2001860175,Tue Jun 02 02:19:31 PDT 2009,NO_QUERY,bozretro,"@anna_black Haha! Best compliment I've had: &quot;I love your beard&quot;. Reminds me of Blackadder for some reason. And yes, distance too far "
760171,negative,2296565002,Tue Jun 23 09:20:24 PDT 2009,NO_QUERY,MilouMcFly,@malu__ haven't spoke Marielle for a lon long long time now 
1408485,positive,2055697624,Sat Jun 06 09:47:33 PDT 2009,NO_QUERY,nezzle,"Kinda missed it here, but Happy Birthday Tetris! "
803480,positive,1468381341,Tue Apr 07 01:19:23 PDT 2009,NO_QUERY,marktheking,Got to see my bestftiend 2nite. 
1292191,positive,2003003345,Tue Jun 02 05:40:07 PDT 2009,NO_QUERY,evilcaz,@ThisisDavina Hi!! Cannot wait till BB starts again 
1487388,positive,2068274918,Sun Jun 07 13:48:09 PDT 2009,NO_QUERY,icantdobetter,http://twitpic.com/6uttq - In the beach I love this photo! xoxo 
362335,negative,2047364496,Fri Jun 05 13:32:35 PDT 2009,NO_QUERY,SeattleWillow,@EmbryC  We'll miss you Embry 
81444,negative,1752718699,Sat May 09 22:45:35 PDT 2009,NO_QUERY,nsarryeh,@shamim86 come back 
1525133,positive,2176824637,Mon Jun 15 04:50:29 PDT 2009,NO_QUERY,SMousetis,time for work 
633717,negative,2233092192,Thu Jun 18 20:49:22 PDT 2009,NO_QUERY,shangar110,Goodnight to an amazing day. Minus the fact that I can't get dave tickets 
1331269,positive,2015970114,Wed Jun 03 05:54:39 PDT 2009,NO_QUERY,Loebette,@Makenzesgranna Why can't the rain only wet the plants you want? 
1525985,positive,2176957826,Mon Jun 15 05:08:30 PDT 2009,NO_QUERY,wardverstraete,is cutting some trees to improve spectator quality on Ypres Rally 
1399883,positive,2054305870,Sat Jun 06 07:03:25 PDT 2009,NO_QUERY,lollypopper13,"@heynadine hey hey, i really hope you enter me!!  &lt;3's rachael"
658259,negative,2241444092,Fri Jun 19 10:57:35 PDT 2009,NO_QUERY,nikuku,@thelele lucky! Its sooo hawt heyah 
247818,negative,1982563917,Sun May 31 11:27:38 PDT 2009,NO_QUERY,Santiago_Steph,Don't wanna go out. Hoping plans get cancelled. I hate being the one to cancel. Ugh. 
476102,negative,2177790810,Mon Jun 15 06:42:28 PDT 2009,NO_QUERY,Arabian_Beauty,i just saw something that  really walla walla walla wanna mn 2l5a6er 
59387,negative,1686134298,Sun May 03 03:56:32 PDT 2009,NO_QUERY,glenna_boo,life got me restless. i guess its all about the mistakes. even the HUGE ones. 
1284729,positive,2002073457,Tue Jun 02 03:03:13 PDT 2009,NO_QUERY,Marschnic,@JillianMichaels Hi! I`m buying a fitness-game for wii. What`s the difference between your Fitness Ult. and EA`s Sports Active?  
479344,negative,2178835033,Mon Jun 15 08:16:18 PDT 2009,NO_QUERY,KristinNicolexo,@MrsPinkyIvory ; aww pinky  I'll keep you in my prayers. hope things get better for you
1575468,positive,2189397286,Mon Jun 15 23:56:10 PDT 2009,NO_QUERY,Jessscaaa,Another amazing night with my boyfriend  life is good
381026,negative,2052694409,Sat Jun 06 01:39:42 PDT 2009,NO_QUERY,VictoriaNicole_,"I wanna go home, working on a Sat should be banned!! "
526727,negative,2194366868,Tue Jun 16 09:42:00 PDT 2009,NO_QUERY,Julie1205,Good new: its not gonna rain tmrw. Bad news: its not going to be warm enough for the beach 
87321,negative,1754425412,Sun May 10 06:13:39 PDT 2009,NO_QUERY,KKOB,@davethorne yeah got back just after 11 this morning. Was hell to get up at 9 after goin to bed at 3 
98383,negative,1793280695,Thu May 14 02:04:46 PDT 2009,NO_QUERY,saradia,@LaBetenoir That's why I always take the stairs for anything 6 floors up or less... It's my worst fear  Hugs xx
1119036,positive,1973707397,Sat May 30 11:40:34 PDT 2009,NO_QUERY,LuciaJonas,"FLAWLESS(L) need to win, if not, diversity,or shaun ;] or aidan  x i love flawlesss(LLLL)"
488358,negative,2182550658,Mon Jun 15 13:19:17 PDT 2009,NO_QUERY,judy_jay,"@joshtastic1 aww no  i hate bad exams. its never as bad as ya think tho, i did better on the ones i found hard than on the easy ones lol"
754438,negative,2287988905,Mon Jun 22 18:34:06 PDT 2009,NO_QUERY,mlara,@yelliebird great! Happy driving. Gotta love california traffic... But I miss LA traffic so bad 
911620,positive,1752018714,Sat May 09 20:51:03 PDT 2009,NO_QUERY,Kweeenie,@BarbaraNixon THAT was a GREAT AMP JOKE.. Thanks for sharing 
